f,v
21.9227,8.203
178.535,-3.04867
90.8236,1.39854
189.035,-4.65622
92.7274,1.43734
166.954,2.79441
191.284,3.41354
199.479,-4.04614
197.69,4.27078
188.694,3.32572
65.3718,-0.757396
85.5126,-1.28621
158.272,5.36051
56.445,-0.348891
192.361,3.45378
164.5,5.2419
154.233,2.54866
192.396,3.45514
119.186,6.02976
83.7122,-1.24652
192.52,3.45994
85.7509,1.2914
197.509,-3.71042
165.439,2.76376
171.786,-5.09347
191.898,-3.43614
195.434,3.58804
198.15,3.76023
148.043,-5.54449
104.716,-1.66878
194.421,-4.45414
153.053,-5.45576
59.0086,7.12152
58.7534,-0.487016
63.1297,0.6773
153.302,2.53149
69.6838,-0.893007
161.3,-5.30363
194.405,-3.53895
118.89,-1.92433
196.256,4.36237
106.355,-1.69909
169.956,-2.85658
174.918,2.96459
96.2439,-1.50732
153.859,2.54175
113.687,1.83201
194.226,-3.53094
191.17,4.58387
171.722,-2.8942
21.5409,8.21968
69.8759,6.89683
194.83,-3.55862
163.841,2.73192
149.959,2.47047
165.007,5.23193
42.0761,-7.52839
136.923,2.23924
197.432,-4.28936
60.6986,-0.578984
180.809,3.10452
50.8596,-7.30648
199.537,3.99014
190.419,3.38294
194.934,4.43035
85.2597,-1.28069
179.486,-4.91923
158.055,5.36454
189.064,4.65529
61.6609,0.619661
85.0583,1.27628
195.017,3.56751
115.568,1.86553
179.428,3.07029
68.1785,6.93058
177.984,3.0355
43.6677,-7.48604
199.452,-3.93849
190.185,3.37489
33.3028,7.78421
48.7997,7.35612
198.545,4.19755
171.148,-2.88187
89.933,-1.38014
91.7992,1.41851
199.347,-3.90939
46.4249,-7.41507
159.951,5.32915
165.961,5.21308
197.823,4.26069
90.3817,1.38943
138.003,2.25813
66.3344,6.96778
64.0497,0.711175
185.863,-3.24004
40.6931,-7.56608
152.452,5.46652
90.0982,1.38357
192.815,-3.47158
188.231,-4.68167
168.222,5.16762
58.183,-0.456691
174.235,-5.04042
134.955,-5.76802
199.357,-3.91188
165.834,2.77171
196.04,3.61982
190.592,4.60422
114.202,-6.11225
7.73224,-9.09923
176.075,4.99923
67.2595,0.819248
182.29,-3.14241
179.084,-4.92894
64.7188,7.00082
127.666,-2.07791
90.8372,-1.39882
60.5905,-7.08744
54.6103,-0.174995
90.6717,1.39541
199.226,-4.10951
191.417,-3.41834
199.35,4.08449
84.9253,6.61366
163.686,2.72886
117.286,-1.896
79.9362,1.16004
127.716,-5.88863
92.9234,6.47208
77.3924,-1.09883
152.877,-5.45891
122.064,-5.98218
169.795,2.85319
54.0019,0.0232834
190.364,-4.61206
188.036,-3.30498
83.4056,1.23967
149.764,2.46696
84.6939,1.26828
154.014,5.43846
135.498,-5.75892
173.661,2.93652
114.401,-6.10896
182.591,-3.15028
190.771,-3.39524
155.808,5.40588
159.784,5.33227
195.182,-3.57555
197.625,3.71879
157.591,5.37314
159.18,-5.34359
17.3902,8.41793
196.956,-3.67342
48.7557,-7.3572
175.703,-2.98239
78.1918,1.11835
29.292,7.9175
158.492,-2.62839
186.837,3.26854
199.324,4.09031
94.9161,6.4375
72.7209,6.84119
